Frame,R,G,B,WW,CW
1,67,80,167,0,0
2,66,85,170,0,0
3,65,91,172,0,0
4,65,97,174,0,0
5,64,103,176,0,0
6,63,108,177,0,0
7,62,113,178,0,0
8,61,118,179,0,0
9,60,123,179,0,0
10,59,126,179,0,0
11,57,130,179,0,0
12,56,133,178,0,0
13,55,135,177,0,0
14,54,137,176,0,0
15,52,139,174,0,0
16,51,139,172,0,0
17,50,139,170,0,0
18,48,139,167,0,0
19,47,138,164,0,0
20,45,136,161,0,0
21,44,134,157,0,0
22,42,131,154,0,0
23,41,128,149,0,0
24,39,124,145,0,0
25,38,120,141,0,0
26,36,115,136,0,0
27,35,110,131,0,0
28,33,105,126,0,0
29,32,100,121,0,0
30,30,94,116,0,0
31,29,88,111,0,0
32,28,82,105,0,0
33,26,76,100,0,0
34,25,70,95,0,0
35,24,64,90,0,0
36,22,58,84,0,0
37,21,53,79,0,0
38,20,48,74,0,0
39,19,43,69,0,0
40,18,38,64,0,0
41,17,34,59,0,0
42,16,30,55,0,0
43,15,27,51,0,0
44,14,25,46,0,0
45,13,22,43,0,0
46,13,21,39,0,0
47,12,20,36,0,0
48,11,20,33,0,0
49,11,20,30,0,0
50,11,21,27,0,0
51,10,22,25,0,0
52,10,24,23,0,0
53,10,26,22,0,0
54,10,30,21,0,0
55,10,33,20,0,0
56,10,37,20,0,0
57,10,42,20,0,0
58,10,46,20,0,0
59,10,52,20,0,0
60,10,57,21,0,0
61,11,63,23,0,0
62,11,69,24,0,0
63,12,75,26,0,0
64,12,81,29,0,0
65,13,86,31,0,0
66,14,92,34,0,0
67,15,98,38,0,0
68,15,104,41,0,0
69,16,109,45,0,0
70,17,114,49,0,0
71,18,119,53,0,0
72,19,123,58,0,0
73,21,127,62,0,0
74,22,131,67,0,0
75,23,133,72,0,0
76,24,136,77,0,0
77,26,138,82,0,0
78,27,139,88,0,0
79,28,139,93,0,0
80,30,139,98,0,0
81,31,139,104,0,0
82,33,138,109,0,0
83,34,136,114,0,0
84,36,134,119,0,0
85,37,131,124,0,0
86,39,127,129,0,0
87,40,124,134,0,0
88,42,119,139,0,0
89,43,115,144,0,0
90,44,110,148,0,0
91,46,104,152,0,0
92,47,99,156,0,0
93,49,93,160,0,0
94,50,87,163,0,0
95,52,81,166,0,0
96,53,75,169,0,0
97,54,69,171,0,0
98,56,63,174,0,0
99,57,58,175,0,0
100,58,52,177,0,0
101,59,47,178,0,0
102,60,42,179,0,0
103,61,38,179,0,0
104,62,33,179,0,0
105,63,30,179,0,0
106,64,27,179,0,0
107,65,24,178,0,0
108,66,22,176,0,0
109,66,21,175,0,0
110,67,20,173,0,0
111,68,20,170,0,0
112,68,20,168,0,0
113,69,21,165,0,0
114,69,22,162,0,0
115,69,24,158,0,0
116,69,27,155,0,0
117,69,30,151,0,0
118,69,34,146,0,0
119,69,38,142,0,0
120,69,42,137,0,0
121,69,47,132,0,0
122,69,53,128,0,0
123,69,58,122,0,0
124,68,64,117,0,0
125,68,70,112,0,0
