FPS,DURATION,FRAMEFORMAT,,,,,
25,2, Frame No.,R,G,B,WW,CW
1,0,0,0,0,0,,
2,0,0,0,0,3,,
3,0,0,0,0,7,,
4,0,0,0,0,10,,
5,0,0,0,0,14,,
6,0,0,0,0,17,,
7,0,0,0,0,21,,
8,0,0,0,0,24,,
9,0,0,0,0,28,,
10,0,0,0,0,31,,
11,0,0,0,0,34,,
12,0,0,0,0,38,,
13,0,0,0,0,41,,
14,0,0,0,0,45,,
15,0,0,0,0,48,,
16,0,0,0,0,52,,
17,0,0,0,0,55,,
18,0,0,0,0,59,,
19,0,0,0,0,62,,
20,0,0,0,0,66,,
21,0,0,0,0,69,,
22,0,0,0,0,72,,
23,0,0,0,0,76,,
24,0,0,0,0,79,,
25,0,0,0,0,83,,
26,0,0,0,0,86,,
27,0,0,0,0,90,,
28,0,0,0,0,93,,
29,0,0,0,0,97,,
30,0,0,0,0,100,,
31,0,0,0,0,100,,
32,0,0,0,0,97,,
33,0,0,0,0,93,,
34,0,0,0,0,90,,
35,0,0,0,0,86,,
36,0,0,0,0,83,,
37,0,0,0,0,79,,
38,0,0,0,0,76,,
39,0,0,0,0,72,,
40,0,0,0,0,69,,
41,0,0,0,0,66,,
42,0,0,0,0,62,,
43,0,0,0,0,59,,
44,0,0,0,0,55,,
45,0,0,0,0,52,,
46,0,0,0,0,48,,
47,0,0,0,0,45,,
48,0,0,0,0,41,,
49,0,0,0,0,38,,
50,0,0,0,0,34,,
51,0,0,0,0,31,,
52,0,0,0,0,28,,
53,0,0,0,0,24,,
54,0,0,0,0,21,,
55,0,0,0,0,17,,
56,0,0,0,0,14,,
57,0,0,0,0,10,,
58,0,0,0,0,7,,
59,0,0,0,0,3,,
60,0,0,0,0,0,,
